Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","나머지 칩 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
11.11.2025,14:55:24.139,112.830,126.278,117.548,4.016,250.0,250.0,232.837,32.457,12.967,92.144,65.188,40.430,24.758,39.939,16.883,1.246,15.637,15.377,0.000,0.000,0.000,0.000,20.0,
11.11.2025,14:55:25.147,21.750,98.976,90.491,3.752,250.0,250.0,153.083,137.280,13.636,331.000,211.819,131.346,80.473,129.751,228.326,62.013,166.314,18.123,0.000,0.000,1.625,0.000,20.0,
11.11.2025,14:55:26.140,108.752,86.629,78.241,3.733,250.0,250.0,343.362,132.936,13.811,330.613,211.723,131.279,80.444,129.697,206.813,53.970,152.843,18.170,0.000,0.001,0.500,0.000,20.0,
11.11.2025,14:55:27.133,103.314,115.591,106.846,4.003,250.0,250.0,341.175,132.285,14.069,335.381,214.797,133.196,81.601,131.590,196.795,52.212,144.583,18.629,0.000,0.000,0.000,0.000,20.0,
11.11.2025,14:55:28.143,103.314,119.574,110.884,3.978,250.0,250.0,339.660,146.860,13.494,326.882,209.198,129.720,79.478,128.164,197.946,52.453,145.493,185.775,0.000,0.000,0.500,1.750,20.0,
11.11.2025,14:55:29.150,101.955,115.853,107.126,3.981,250.0,250.0,341.672,132.834,13.094,328.246,209.768,130.070,79.698,128.500,210.125,55.366,154.760,18.711,0.000,0.000,0.000,2.750,20.0,
11.11.2025,14:55:30.174,42.141,119.697,110.983,4.018,250.0,250.0,331.090,82.855,12.540,221.842,143.775,89.155,54.620,88.080,100.691,22.271,78.420,17.156,0.000,0.000,0.375,1.500,20.0,
11.11.2025,14:55:31.182,104.673,142.883,134.052,4.071,250.0,250.0,187.599,32.203,12.725,91.492,64.633,40.077,24.556,39.598,16.759,1.240,15.519,15.436,0.000,0.000,0.000,0.500,20.0,
11.11.2025,14:55:32.162,36.704,47.888,39.847,3.472,250.0,250.0,231.944,150.003,13.641,332.128,212.502,131.768,80.734,130.175,196.145,52.431,143.714,206.790,0.000,0.000,2.750,0.000,20.0,
11.11.2025,14:55:33.164,104.673,115.596,106.800,4.028,250.0,250.0,337.871,150.003,13.913,320.815,205.735,127.577,78.158,126.032,226.601,60.371,166.230,18.711,0.000,0.000,0.375,0.250,20.0,
11.11.2025,14:55:34.170,107.392,120.993,112.271,3.996,250.0,250.0,338.560,134.414,13.226,318.040,203.642,126.276,77.366,124.742,197.041,52.250,144.791,18.535,0.000,0.000,0.000,0.000,20.0,
11.11.2025,14:55:35.170,70.689,124.465,115.705,4.008,250.0,250.0,338.560,127.591,13.226,318.040,203.642,126.276,77.366,124.742,197.041,52.250,144.791,18.535,0.000,0.000,0.500,0.000,20.0,
11.11.2025,14:55:36.173,101.955,116.452,107.697,3.999,250.0,250.0,338.216,138.525,12.748,325.855,208.096,129.042,79.054,127.485,226.140,60.037,166.103,50.693,0.000,0.000,0.000,0.000,20.0,
