Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","나머지 칩 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
6.11.2025,18:17:37.834,27.188,26.556,19.631,2.978,250.0,250.0,69.565,41.158,8.716,60.546,42.791,26.535,16.256,26.206,113.262,32.499,80.763,4.008,0.000,0.000,0.000,0.250,10.0,
6.11.2025,18:17:38.833,25.829,24.470,17.601,2.952,250.0,250.0,66.657,41.307,8.718,61.216,43.212,26.796,16.416,26.467,113.067,32.497,80.570,4.110,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:39.828,27.188,26.487,19.514,3.031,250.0,250.0,66.756,34.407,8.711,59.821,42.350,26.254,16.096,25.937,80.496,28.453,52.043,3.906,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:40.830,16.313,25.710,18.822,2.972,250.0,250.0,66.362,14.070,8.717,40.239,30.328,18.808,11.520,18.576,4.328,0.473,3.855,3.855,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:41.828,17.672,26.834,19.935,3.015,250.0,250.0,67.738,28.468,8.736,62.435,43.981,27.272,16.709,26.942,47.245,17.571,29.674,4.119,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:42.829,21.750,25.319,18.443,2.963,250.0,250.0,66.689,41.784,8.749,62.995,44.344,27.497,16.847,27.156,113.153,32.607,80.546,3.941,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:43.826,20.391,24.831,17.933,2.976,250.0,250.0,67.535,20.063,8.726,63.151,44.410,27.541,16.869,27.212,4.405,0.490,3.915,3.915,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:44.840,16.313,26.398,19.528,2.941,250.0,250.0,66.640,19.920,8.717,62.630,44.092,27.341,16.751,27.011,4.378,0.480,3.898,3.898,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:45.839,17.672,26.619,19.702,3.007,250.0,250.0,67.118,20.599,8.712,65.075,45.595,28.267,17.328,27.926,4.597,0.707,3.890,3.890,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:46.834,20.391,25.265,18.437,2.934,250.0,250.0,63.310,20.678,8.714,65.330,45.759,28.375,17.384,28.034,4.645,0.755,3.890,3.890,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:47.829,24.469,26.151,19.257,2.980,250.0,250.0,64.012,20.180,8.720,63.430,44.578,27.642,16.936,27.313,4.647,0.757,3.890,3.890,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:48.837,29.907,25.989,19.012,3.068,250.0,250.0,64.105,27.230,8.718,63.703,44.734,27.743,16.991,27.414,39.547,5.081,34.466,3.898,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:49.834,16.313,33.535,25.875,3.586,250.0,250.0,63.275,34.088,8.706,56.406,40.232,24.944,15.288,24.651,26.858,8.593,18.265,116.942,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:50.830,23.110,29.733,22.576,3.197,250.0,250.0,63.090,12.298,8.720,33.354,26.081,16.180,9.901,15.984,4.430,0.456,3.974,3.898,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:51.830,19.032,26.955,19.977,3.052,250.0,250.0,63.507,19.684,8.716,61.514,43.409,26.914,16.495,26.584,4.655,0.477,4.178,3.898,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:52.827,23.110,24.780,17.944,2.943,250.0,250.0,63.538,10.800,8.687,27.693,22.565,13.999,8.566,13.828,4.388,0.456,3.932,3.881,0.000,0.001,0.000,0.000,10.0,
6.11.2025,18:17:53.825,27.188,26.256,19.255,3.092,250.0,250.0,55.977,27.372,8.712,61.757,43.534,26.991,16.543,26.661,4.652,0.652,4.000,80.222,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:54.827,24.469,26.132,19.242,3.005,250.0,250.0,70.410,22.317,8.712,65.611,45.903,28.468,17.435,28.127,12.463,1.860,10.603,3.991,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:55.840,19.032,27.922,21.029,2.984,250.0,250.0,70.612,20.615,8.720,65.285,45.703,28.336,17.367,27.994,4.392,0.460,3.932,3.958,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:56.829,17.672,25.520,18.636,2.966,250.0,250.0,70.022,20.787,8.735,65.932,46.125,28.604,17.521,28.262,4.375,0.451,3.924,3.941,0.000,0.000,0.000,0.000,10.0,
