Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","나머지 칩 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
16.11.2025,17:55:15.839,114.189,168.576,159.088,4.482,0.000,250.0,250.0,290.147,79.343,13.374,271.294,175.150,108.608,66.542,107.290,17.489,1.298,16.190,16.190,0.000,0.500,1.625,39.0,
16.11.2025,17:55:16.848,114.189,163.413,153.943,4.445,0.000,250.0,250.0,289.236,119.749,12.903,167.649,111.335,69.041,42.294,68.202,237.594,109.565,128.029,250.879,0.000,0.000,0.000,39.0,
16.11.2025,17:55:17.839,119.627,162.546,153.065,4.447,0.000,250.0,250.0,269.073,32.421,12.451,91.899,64.713,40.123,24.590,39.645,17.359,1.287,16.072,16.072,0.000,1.750,0.625,39.0,
16.11.2025,17:55:18.846,115.549,176.157,166.329,4.617,0.000,250.0,250.0,205.510,98.569,12.180,316.640,202.484,125.555,76.929,124.044,56.615,10.306,46.309,14.623,0.000,1.000,2.625,39.0,
16.11.2025,17:55:19.841,123.705,184.707,174.857,4.644,0.000,250.0,250.0,198.406,21.301,12.302,57.878,43.538,26.993,16.545,26.662,9.955,0.774,9.181,9.181,0.000,1.125,0.875,39.0,
16.11.2025,17:55:20.837,112.830,146.668,137.642,4.239,0.000,250.0,250.0,85.626,16.849,12.886,42.573,34.395,21.336,13.059,21.079,7.929,0.630,7.299,7.299,0.000,0.500,1.250,39.0,
16.11.2025,17:55:21.835,17.672,84.948,76.189,3.978,0.000,250.0,250.0,52.848,15.664,13.069,39.133,32.387,20.080,12.307,19.835,6.813,0.615,6.198,6.198,0.000,0.000,0.000,39.0,
16.11.2025,17:55:22.835,19.032,26.306,18.182,3.557,0.000,250.0,250.0,49.687,14.543,12.382,36.342,30.220,18.733,11.487,18.512,6.197,0.642,5.555,5.358,0.000,0.000,0.000,39.0,
16.11.2025,17:55:23.841,40.782,26.325,18.301,3.554,0.000,250.0,250.0,46.630,13.478,11.937,32.939,27.833,17.264,10.569,17.056,5.927,0.603,5.324,5.324,0.000,0.000,0.000,39.0,
16.11.2025,17:55:24.837,27.188,28.299,20.172,3.594,0.000,250.0,250.0,45.203,13.621,11.723,33.673,28.165,17.456,10.709,17.248,5.976,0.694,5.282,5.282,0.000,0.000,0.375,39.0,
16.11.2025,17:55:25.846,99.236,28.299,20.172,3.594,0.000,250.0,250.0,275.607,156.470,12.643,420.685,267.376,165.791,101.585,163.785,159.274,69.210,90.064,114.283,0.000,2.500,2.375,39.0,
16.11.2025,17:55:26.850,115.549,173.111,163.371,4.590,0.000,250.0,250.0,464.524,212.082,12.790,456.183,289.266,179.362,109.904,177.202,438.779,118.696,320.083,18.559,0.000,2.250,1.625,39.0,
16.11.2025,17:55:27.858,115.549,172.767,163.177,4.544,0.000,250.0,250.0,434.089,99.118,13.519,346.605,221.774,137.522,84.252,135.867,17.754,1.362,16.392,16.132,0.000,1.000,0.500,42.0,
16.11.2025,17:55:28.859,119.627,189.913,180.458,4.436,0.000,250.0,250.0,291.082,95.966,14.353,334.977,215.127,133.388,81.739,131.781,16.387,1.437,14.949,15.519,0.000,0.000,0.000,42.0,
16.11.2025,17:55:29.851,115.549,180.474,171.030,4.470,0.000,250.0,250.0,290.311,55.999,14.952,180.389,120.301,74.602,45.699,73.704,17.619,1.311,16.308,15.107,0.000,2.375,2.250,42.0,
16.11.2025,17:55:30.861,111.470,186.920,177.443,4.457,0.000,250.0,250.0,287.291,184.432,14.074,222.022,145.464,90.195,55.269,89.103,380.536,153.223,227.312,467.126,0.000,1.000,0.125,19.0,
16.11.2025,17:55:31.857,110.111,193.376,183.862,4.510,0.000,250.0,250.0,292.457,31.919,12.712,90.922,64.278,39.861,24.417,39.371,16.565,1.223,15.342,14.493,0.000,2.125,2.625,19.0,
16.11.2025,17:55:32.865,108.752,193.376,183.862,4.510,0.000,250.0,250.0,188.840,176.534,12.215,321.428,205.458,127.393,78.065,125.857,438.573,129.900,308.673,17.781,0.000,1.000,2.500,19.0,
16.11.2025,17:55:33.858,115.549,168.979,159.111,4.679,0.001,250.0,250.0,208.323,157.085,12.299,256.422,165.364,102.540,62.824,101.293,383.592,147.213,236.379,102.928,0.000,2.250,0.500,19.0,
16.11.2025,17:55:34.853,58.454,187.426,177.628,4.632,0.000,250.0,250.0,111.255,15.787,12.235,39.311,31.978,19.827,12.151,19.581,7.929,0.630,7.299,6.926,0.000,0.875,0.000,19.0,
16.11.2025,17:55:35.864,118.267,171.455,162.165,4.337,0.000,250.0,250.0,248.424,214.745,13.274,491.391,311.619,193.232,118.387,190.892,405.338,133.561,271.777,17.982,0.000,0.000,0.000,19.0,
16.11.2025,17:55:36.856,110.111,175.825,166.214,4.531,0.000,250.0,250.0,462.124,265.630,13.431,460.213,292.424,181.326,111.098,179.141,368.429,157.538,210.891,681.811,0.000,0.000,1.125,19.0,
16.11.2025,17:55:37.860,112.830,176.434,166.749,4.564,0.000,250.0,250.0,427.964,57.622,13.224,187.845,123.766,76.747,47.019,75.812,18.155,1.400,16.755,15.496,0.000,0.000,2.500,19.0,
16.11.2025,17:55:38.860,119.627,181.023,171.416,4.510,0.000,250.0,250.0,287.067,152.303,13.328,239.652,155.787,96.600,59.187,95.425,374.101,169.223,204.878,114.846,0.000,0.000,0.000,19.0,
